Model,#Iters,Seconds,TrainingLoss,LearningRate
output,0,1.182765,1.10542,0.01
output,100,499.468533,0.77836,0.01
output,200,944.329884,1.0046,0.01
output,300,1419.760925,0.752846,0.01
output,400,1860.324452,0.766322,0.01
output,500,2320.726153,0.766401,0.01
output,600,2866.256698,0.893969,0.01
output,700,3403.049229,1.06589,0.01
output,800,3943.308088,0.825998,0.01
output,900,4438.308469,0.636262,0.01
output,1000,4983.756620,0.566465,0.01
output,1100,5506.000186,0.832892,0.01
output,1200,6018.997801,0.723932,0.0025
output,1300,6623.434547,0.800123,0.0025
output,1400,7176.993878,0.66772,0.0025
output,1500,7653.939077,0.735886,0.0025
output,1600,8152.250895,0.626761,0.0025
output,1700,8677.067087,0.652555,0.0025
output,1800,9189.167554,0.540604,0.0025
output,1900,9722.555228,0.759393,0.0025
output,2000,10215.114470,0.556509,0.0025
output,2100,10772.151553,0.732737,0.0025
output,2200,11229.382843,0.684359,0.0025
output,2300,11713.003715,0.854162,0.0025
output,2400,12189.145735,0.732727,0.000625
output,2500,12690.651159,0.667933,0.000625
output,2600,13227.269144,0.604801,0.000625
output,2700,13700.408232,0.589641,0.000625
output,2800,14217.295413,0.609513,0.000625
output,2900,14722.468037,0.781329,0.000625
output,3000,15223.770468,0.541952,0.000625
output,3100,15680.921566,0.517253,0.000625
output,3200,16157.493439,0.488581,0.000625
output,3300,16605.484935,0.553678,0.000625
output,3400,17104.893646,0.492929,0.000625
output,3500,17597.370964,0.604064,0.000625
output,3600,18038.460531,0.60357,0.00015625
output,3700,18526.889073,0.579228,0.00015625
output,3800,19040.436122,0.584233,0.00015625
output,3900,19574.790856,0.526853,0.00015625
output,4000,20070.244173,0.654671,0.00015625
output,4100,20591.198268,0.604266,0.00015625
output,4200,21109.131434,0.716534,0.00015625
output,4300,21597.468265,0.881453,0.00015625
output,4400,22091.360429,0.640512,0.00015625
output,4500,22651.591567,0.504256,0.00015625
output,4600,23229.513382,0.58058,0.00015625
output,4700,23749.858084,0.714907,3.90625e-05
output,4800,24282.704089,0.537515,3.90625e-05
output,4900,24770.961971,0.541902,3.90625e-05
output,5000,25262.782245,0.824892,3.90625e-05
output,5100,25758.788966,0.67051,3.90625e-05
output,5200,26284.701829,0.581706,3.90625e-05
output,5300,26767.022495,0.455143,3.90625e-05
output,5400,27272.557965,0.58737,3.90625e-05
output,5500,27785.189663,0.805643,3.90625e-05
output,5600,28282.432889,0.728235,3.90625e-05
output,5700,28763.167949,0.516952,3.90625e-05
output,5800,29259.933348,0.506592,3.90625e-05
output,5900,29734.687810,0.643874,9.76562e-06
output,6000,30257.312648,0.720686,9.76562e-06
output,6100,30771.904003,0.505854,9.76562e-06
output,6200,31286.414532,0.686114,9.76562e-06
output,6300,31781.959743,0.481849,9.76562e-06
output,6400,32277.345938,0.614054,9.76562e-06
output,6500,32767.395755,0.54958,9.76562e-06
output,6600,33222.027967,0.477988,9.76562e-06
output,6700,33720.371082,0.491045,9.76562e-06
output,6800,34218.082947,0.496589,9.76562e-06
output,6900,34757.924411,0.615764,9.76562e-06
output,7000,35273.028727,0.608592,9.76562e-06
output,7100,35786.281738,0.564035,2.44141e-06
output,7200,36322.581492,0.677555,2.44141e-06
output,7300,36836.348994,0.474381,2.44141e-06
output,7400,37358.279484,0.613456,2.44141e-06
output,7500,37867.162473,0.445172,2.44141e-06
output,7600,38392.063241,0.62794,2.44141e-06
output,7700,38927.052909,0.597076,2.44141e-06
output,7800,39422.990326,0.613434,2.44141e-06
output,7900,39918.354989,0.705078,2.44141e-06
output,8000,40404.464079,0.520485,2.44141e-06
output,8100,40902.227791,0.507297,2.44141e-06
output,8200,41405.161073,0.820422,6.10352e-07
output,8300,41937.749670,0.528056,6.10352e-07
output,8400,42494.333245,0.705497,6.10352e-07
output,8500,43052.034692,0.490224,6.10352e-07
output,8600,43631.240165,0.428255,6.10352e-07
output,8700,44136.350944,0.623843,6.10352e-07
output,8800,44607.922385,0.531647,6.10352e-07
output,8900,45143.087460,0.669576,6.10352e-07
output,9000,45676.016316,0.779811,6.10352e-07
output,9100,46173.400785,0.559151,6.10352e-07
output,9200,46694.051094,0.455415,6.10352e-07
output,9300,47188.882864,0.653624,6.10352e-07
output,9400,47694.004966,0.605331,1.52588e-07
output,9500,48183.119999,0.697746,1.52588e-07
output,9600,48690.775169,0.685697,1.52588e-07
output,9700,49206.411288,0.553236,1.52588e-07
output,9800,49707.975965,0.558333,1.52588e-07
output,9900,50221.749536,0.537251,1.52588e-07
output,10000,50773.555285,0.633092
